,recipe name,total time,cuisine,ingredients,cooking method,servings,Images
,Apple pie,65 mins,['American'],"['1/2 cup sugar', '1/2 cup packed brown sugar', '3 tablespoons all-purpose flour', '1 teaspoon ground cinnamon', '1/4 teaspoon ground ginger', '1/4 teaspoon ground nutmeg', '6 to 7 cups thinly sliced peeled tart apples', '1 tablespoon lemon juice', 'Pastry for double-crust pie', '1 tablespoon butter', '1 large egg white', 'Additional sugar']","['In a small bowl, combine the sugars, flour and spices; set aside. In a large bowl, toss apples with lemon juice. Add sugar mixture; toss to coat.', 'Line a 9-in. pie plate with bottom crust; trim even with edge. Fill with apple mixture; dot with butter. Roll remaining crust to fit top of pie; place over filling. Trim, seal and flute edges. Cut slits in crust.', 'Beat egg white until foamy; brush over crust. Sprinkle with sugar. Cover edges loosely with foil.', 'Bake at 375° for 25 minutes. Remove foil and bake until crust is golden brown and filling is bubbly, 20-25 minutes longer. Cool on a wire rack.']",8 servings,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Apple_pie.jpg/1200px-Apple_pie.jpg
,Baby back ribs,90 mins,['American'],"['4-1/2 pounds pork baby back ribs', '1 bottle (2 liters) cola', '1/2 teaspoon salt', '1/2 teaspoon pepper', '1/4 teaspoon garlic salt', '1/4 teaspoon dried oregano', '1/4 teaspoon onion powder', '1/8 teaspoon cayenne pepper', '1/4 cup ketchup', '1/4 cup honey', '1/4 cup molasses', '1 tablespoon prepared mustard', '1/2 teaspoon cayenne pepper', '1/2 teaspoon salt']","['Place the ribs in large resealable plastic bags; add cola. Seal bags and turn to coat; refrigerate for 8 hours or overnight.', 'Drain and discard cola. Pat ribs dry with paper towels. Combine the seasonings; rub over ribs.', 'Prepare grill for indirect heat, using a drip pan. Place ribs over pan; grill, covered, over indirect medium heat for 1 hour, or until tender, turning occasionally.', 'In a small bowl, combine barbecue sauce ingredients. Brush over ribs; grill, covered, over medium heat 10-20 minutes longer or until browned, turning and basting occasionally.']",4 servings,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2010/4/5/0/0041270F1_Baby-Back-Ribs_s4x3.jpg.rend.hgtvcom.826.620.suffix/1371591260278.jpeg
,Baklava,65 mins,['American'],"['Butter-flavored cooking spray', '1/2 cup spreadable honey nut cream cheese', '1-1/4 cups sugar, divided', '3 cups chopped walnuts', '1 package (16 ounces, 14x9-inch sheets) frozen phyllo dough - thawed', '1 cup water', '1/2 cup honey']","['Preheat oven to 350°. Coat a 13x9-in. baking pan with cooking spray. In a large bowl, mix cream cheese and 1/4 cup sugar until blended. Stir in walnuts.', 'Unroll phyllo dough; trim to fit into pan. Layer 20 sheets of phyllo in prepared pan, spritzing each with cooking spray. Keep remaining phyllo covered with plastic wrap and a damp towel to prevent it from drying out.', 'Spread with half of the walnut mixture. Layer with five more phyllo sheets, spritzing each with cooking spray. Spread remaining walnut mixture over phyllo. Top with remaining phyllo sheets, spritzing each with cooking spray.', 'Cut into 1-1/2-in. diamonds. Bake 35-40 minutes or until golden brown. Meanwhile, in a saucepan, combine water, honey and remaining sugar; bring to a boil, stirring to dissolve sugar. Reduce heat; simmer, uncovered, 10 minutes. Pour over warm baklava.', 'Cool completely in pan on a wire rack. Refrigerate, covered, until serving.']",3 sevings,https://amiraspantry.com/wp-content/uploads/2019/12/baklava-I.jpg
,Beef carpaccio,30 mins,['American'],"['1 large shallot', '2 tablespoons red wine vinegar', 'Salt and pepper', '6 ounces lean beef', '4 anchovy fillets, rinsed (optional)', '1 teaspoon capers, rinsed', '1 small fennel bulb, very thinly sliced', 'A few arugula or parsley leaves']","['Wrap the tenderloin in plastic wrap and place in the freezer for 2 hours.', 'After 2 hours, unwrap the tenderloin and thinly slice the beef into approximately into 1/8 to 1/4-inch pieces. Lay out sheets of plastic wrap and place each slice onto the plastic. Top with another piece of plastic and gently pound the meat with a meat mallet until paper thin. Repeat until all of the meat is sliced and pounded. Divide the meat evenly among 4 chilled plates. Serve with greens tossed with vinaigrette, salt, pepper and/or Parmesan.']",4 servings,https://thecookful.com/wp-content/uploads/2019/07/beef-carpaccio-1392-x-780.jpg
,Beef tartare,30 mins,['American'],"['2 pounds/1kg beef tenderloin', '1 cup/250ml cubed Parmigiano-Reggiano', '1/4 cup/60ml garlic-stuffed olives, halved', '3 tablespoons/45ml olive oil', '1 tablespoon/15ml Dijon mustard', '2 shallots, diced', 'A handful celery leaves', 'A handful fresh chives, finely chopped', 'A handful fresh parsley, chopped', 'Green hot sauce, such as Tabasco', 'Salt and freshly ground black pepper', 'Canola oil, for frying', '6 parsnips, peeled and julienned', 'Smoked salt', 'Freshly ground black pepper']","['For the beef tartare: Fill a large bowl with ice and place a smaller bowl over the ice. Finely dice the beef and place it in the bowl over the ice. (This will help to keep the meat fresh.) In another large bowl, combine the cheese, olives, oil, mustard, shallots, celery leaves, chives and parsley. Add the beef and stir gently to combine. Season with hot sauce, salt and pepper.', 'For the crispy parsnips: Heat the canola oil in a deep fryer to 350 degrees F (180 degrees C). Fry the parsnips until golden brown and crisp. Transfer to a baking sheet lined with paper towels to drain. Season with smoked salt and pepper. To serve, divide the beef tartare among plates and garnish with the crispy parsnips.']",4 servings,https://upload.wikimedia.org/wikipedia/commons/d/db/Classic_steak_tartare.jpg
ruvik,Beet salad,40 mins,['american'],"['4 medium beets - scrubbed, trimmed and cut in half','⅓ cup chopped walnuts', '3 tablespoons maple syrup','1 (10 ounce) package mixed baby salad greens','½ cup frozen orange juice concentrate','¼ cup balsamic vinegar','½ cup extra-virgin olive oil','2 ounces goat cheese']","['Place beets into a saucepan, and fill with enough water to cover. Bring to a boil, then cook for 20 to 30 minutes, until tender. Drain and cool, then cut in to cubes.',' While the beets are cooking, place the walnuts in a skillet over medium-low heat. Heat until warm and starting to toast, then stir in the maple syrup. Cook and stir until evenly coated, then remove from the heat and set aside to cool.',' In a small bowl, whisk together the orange juice concentrate, balsamic vinegar and olive oil to make the dressing.',' Place a large helping of baby greens onto each of four salad plates, divide candied walnuts equally and sprinkle over the greens. Place equal amounts of beets over the greens, and top with dabs of goat cheese. Drizzle each plate with some of the dressing.']",6 servings,https://www.feastingathome.com/wp-content/uploads/2019/12/Beet-Salad-with-Feta-11.jpg
,Beignets,90 mins,['french'],"['1/2 cup water','1 tablespoon yeast','1/4 cup shortening','1/2 cup sugar','1 teaspoon slat','1 cup boiling water','1 cup evaporated milk','2 eggs-beaten','7 1/2 cups flour','1 quart vegetable oil for frying', 1 cup confectioners' sugar for dusting']","['pour 1/2 cup room temp. water into a small bowl. Sprinkle the yeast over the water and let s tand out for about 5 mins to dissolve.','combine shortening, sugar, and salt ina alrge bowl. Pour the boiling water over the shortening mixture and then stir in the evaporated milk. wait for the mi9xture to cool down until its lukewarm. then add the yeast and water mixture and beaten eggs.',' slowly mix in the flour until the dough forms a bowl. cover the dough with palstic wrap and refrigerate for 30 mins to 1 hour.','Working with a small portion (a little larger than a baseball) at a time, roll out the dough 1/8-inch thick. Cut the rolled out dough into strips 2 to 3-inches wide, then cut again in the opposite direction and at an angle, making diamond shapes.','Heat your oil for frying in a deep and wide, heavy-bottomed skillet over medium-high heat to 360 degree F (180 degrees C).','Slide dough slowly into the oil to avoid splattering and deep fry until they puff up and are golden brown, 3 to 5 minutes. Carefully remove onto a rack with paper towels underneath and allow to cool until you can handle them. Place in a clean paper bag with confectioners' sugar and shake gently until covered generously or, use a sifter to dust the beignets with powdered sugar.",12 servings,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_4:3/k%2FPhoto%2FRecipes%2F2019-05-how-to-beignets%2FHow_to_Make_the_Easiest_New_Orleans-Style_Beignets_2019-04-30_PHOTO_Kitchn66022_"
,Bibimbap,60 mins,['korean'],"['1 English cucumber, cut into matchsticks','¼ cup gochujang (Korean hot pepper paste) (Optional)',' 1 bunch fresh spinach, cut into thin strips',' 1 tablespoon soy sauce',' 1 teaspoon olive oil','2 carrots, cut into matchsticks','1 clove garlic, minced','1 pinch red pepper flakes',' 1 pound thinly-sliced beef top round steak','1 teaspoon olive oil',' 4 large eggs','4 cups cooked white rice',' 4 teaspoons toasted sesame oil, divided',' 1 teaspoon sesame seeds','2 teaspoons gochujang (Korean hot pepper paste), divided (Optional)']","['Stir cucumber pieces with 1/4 cup gochujang paste in a bowl; set aside.','Bring about 2 cups of water to a boil in a large nonstick skillet and stir in spinach; cook until spinach is bright green and wilted, 2 to 3 minutes. Drain spinach and squeeze out as much moisture as possible; set spinach aside in a bowl and stir soy sauce into spinach.','Heat 1 teaspoon olive oil in large nonstick skillet and cook and stir carrots until softened, about 3 minutes; stir in garlic and cook just until fragrant, about 1 more minute. Stir in cucumber pieces with gochujang paste; sprinkle with red pepper flakes, and set the mixture aside in a bowl.','Brown beef in a clean nonstick skillet over medium heat, about 5 minutes per side, and set aside. In a separate nonstick skillet, heat 1 more teaspoon olive oil over medium-low heat and fry the eggs just on one side until yolks are runny but whites are firm, 2 to 4 minutes each.','To assemble the dish, divide cooked rice into 4 large serving bowls; top with spinach mixture, a few pieces of beef, and cucumber mixture. Place 1 egg atop each serving. Drizzle each bowl with 1 teaspoon of sesame oil, a sprinkle of sesame seeds, and a small amount of gochujang paste if desired.']",4 servings,https://www.maangchi.com/wp-content/uploads/2008/01/bibimbap-bowl.jpg
,Bread pudding,75 mins,['American'],"['1 tablespoon unsalted butter', '8 cups cubed challah or brioche bread (about 12 ounces; 1-inch cubes)', '3 cups heavy cream', '2 cups milk', '1 cup sugar', '1 tablespoon vanilla extract', '1/2 teaspoon fine salt', '1/4 teaspoon ground cinnamon', '4 large eggs plus 6 yolks', '1/2 cup raisins, optional']","['Preheat the oven to 300 degrees F. Grease an 8-inch square baking dish with the butter.', 'Toast the bread cubes on a baking sheet until they start to dry and harden, about 20 minutes. Set aside. Raise the oven temperature to 325 degrees F.', 'Whisk together the cream, milk, sugar, vanilla, salt, cinnamon, whole eggs and yolks in a large bowl. Add the bread to the bowl and stir until completely coated. Cover and let soak for about 30 minutes, pushing the bread down occasionally so that all the cubes are soaked. Meanwhile, pour hot water over the raisins, if using, and soak for 10 minutes. Once plumped, drain the raisins, add to the bowl of bread and gently toss.', 'Pour the bread mixture into the prepared baking dish and bake until the custard is set and the top is golden brown, about 1 hour and 30 minutes. Let cool slightly before serving. Serve warm, at room temperature or cold.']",8 servings,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5941077.jpg
,Breakfast burrito,75 mins,['American'],"['2 plum tomatoes, diced', '1/2 jalapeno, diced, seeded if desired', '1/2 small red onion, diced', '1/2 cup fresh cilantro leaves, roughly chopped, reserving some for garnish', 'Juice of 1/2 lime', 'Kosher salt and freshly ground black pepper', '2 teaspoons vegetable oil', '8 ounces fresh Mexican-style chorizo, casings removed', ""1 cup frozen hash browns with peppers and onions, such as Potatoes O'Brien"", '8 large eggs', 'Kosher salt and freshly ground black pepper', 'Hot sauce', '4 large burrito-size tortillas', '1 avocado, sliced', '1/2 cup finely shredded Cheddar or Mexican blend cheese']","['For the pico de gallo: Combine the tomatoes, jalapeno, onions, cilantro and lime juice in a small bowl. Season with salt and pepper. Set aside.', 'For the burritos: Heat the oil in a large nonstick skillet over medium-high heat. Add the chorizo and cook, breaking it up, until it is slightly crisp, about 5 minutes. Remove to a paper-towel-lined plate using a slotted spoon. Add the hash browns to the skillet and cook, stirring occasionally, until the potatoes are golden brown and crisp, 8 to 10 minutes. Beat the eggs in a medium bowl until frothy. Sprinkle with salt and pepper and a couple dashes of hot sauce. Pour the eggs over the hash and cook, stirring, until the eggs are fluffy and just set, about 3 minutes. Remove from the skillet and keep warm. Wipe out the skillet and return it to the heat.', 'Warm the tortillas one at a time in the skillet.', 'Build the burrito by layering the avocado, egg mixture, about a tablespoon of pico de gallo and a sprinkle of cheese. Fold in the two sides and roll up tightly. Garnish with the reserved cilantro leaves and serve with additional pico de gallo and hot sauce on the side.']",4 servings,https://www.onceuponachef.com/images/2018/03/Breakfast-Burritos.jpg
